ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor(s),Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,CombinedWith,Description
20186,AAS,2559,002,Seminar,"3","Edwin Otu","Tu 6:00PM - 8:30PM","New Cabell Hall 111","New Course in African and African American Studies","Sensing Africa",Closed,10,10,0,,"New course in the subject of African and African American Studies"
20313,AAS,3200,001,Seminar,"3","Mark Hadley","TuTh 11:00AM - 12:15PM","Gibson Hall 341","Martin, Malcolm and America","",Closed,13,10,0,RELG 3200-001  SEM (20312),"An intensive examination of African-American social criticism centered upon, but not limited to, the life and thought of Martin Luther King, Jr. and Malcolm X.  We will come to grips with the American legacy of racial hatred and oppression systematized in the institutions of antebellum chattel slavery and post-bellum racial segregation and analyze the array of critical responses to, and social struggles against, this legacy."
19366,AAS,3500,001,Seminar,"3","Njelle Hamilton","TuTh 11:00AM - 12:15PM","New Cabell Hall 485","Intermediate Seminar in African-American & African Studies","Musical Fictions",Open,13,15,0,ENMC 3500-004  LEC (19590),"Reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
19367,AAS,3500,002,Seminar,"3","Andrew Kahrl","MoWe 2:00PM - 3:15PM","New Cabell Hall 338","Intermediate Seminar in African-American & African Studies","Race and Real Estate",Closed,16,15,0,HIUS 3853-001  LEC (19325),"Reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
20115,AAS,3500,003,Seminar,"3","Maurice Wallace","MoWeFr 12:00PM - 12:50PM","New Cabell Hall 132","Intermediate Seminar in African-American & African Studies","James Baldwin",Closed,7,7,0,ENAM 3510-002  LEC (20116),"Reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
20850,AAS,3500,004,Seminar,"3","Sabrina Pendergrass","TuTh 3:30PM - 4:45PM","New Cabell Hall 383","Intermediate Seminar in African-American & African Studies","SS PerspAf-Amer&AfricanStudies",Open,16,20,0,,"Reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
19368,AAS,3749,001,Seminar,"3","Lisa Shutt","Th 3:30PM - 6:00PM","New Cabell Hall 107","Food and Meaning in Africa and the Diaspora","",Closed,19,18,0,,"This course investigates the traditions and symbolics of food and eating in Africa and throughout the African Diaspora -- wherever people of African descent have migrated or have been forced to move. This course will help students to investigate the way the foods people eat' or don't eat' hold meaning for people within a variety of cultural contexts.Topics will include symbol, taboo, sexuality, bodies, ritual, kinship & beauty, among others."
13010,AAS,4070,001,Lecture,"3","Claudrena Harold","TBA","TBA","Directed Reading and Research","",Open,1,10,0,,"Students in the Distinguished Majors Program should enroll in this course for their first semester of  thesis research."
19370,AAS,4570,001,Seminar,"3","Talitha LeFlouria","Mo 3:30PM - 6:00PM","New Cabell Hall 107","Advanced Research Seminar in African-American & African Studies","Black Women and Work",Open,10,12,0,,"Reading, class discussion, and research on a special topic in African-American and African Studies culminating in the composition of a research paper. Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
12865,AAS,4993,001,Independent Study,"1 - 12","Maurice Apprey","TBA","TBA","Independent Study","",Closed,5,2,0,,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
14781,AAS,4993,002,Independent Study,"1 - 12","Lisa Shutt","TBA","TBA","Independent Study","",Closed,2,2,0,,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
15283,AAS,4993,003,Independent Study,"1 - 12","Claudrena Harold","TBA","TBA","Independent Study","",Open,0,2,0,,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
15906,AAS,4993,004,Independent Study,"1 - 12","Maurice Wallace","TBA","TBA","Independent Study","",Open,3,5,0,,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
15971,AAS,4993,005,Independent Study,"1 - 12","Anne Rotich","TBA","TBA","Independent Study","",Open,0,5,0,,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
21697,AAS,4993,006,Independent Study,"1 - 12","Maurice Apprey","TBA","TBA","Independent Study","",Open,1,2,0,,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
20798,ACCT,2010,701,Lecture,"3","Marshall Kasten","Mo 2:06AM - 2:07AM","Web-Based Course-No class mtgs","Introductory Accounting I","",Closed,24,24,0,,"Designed to introduce students to the language of business, the course begins with the role of financial data in contemporary society, proceeds to develop the accounting model for capturing financial data, and finishes with the problems of measuring and reporting income, assets, liabilities, and equities."
20799,ACCT,2020,701,Lecture,"3","Noel Montesa","Tu 6:30PM - 9:45PM","Web-Based Course-No class mtgs","Introductory Accounting II","",Open,12,24,0,,"Continuation of ACCT 2010. Approximately one third of the course deals with additional financial accounting topics, emphasizing managerial considerations and financial analysis. Cost accumulation, allocation, and product cost methods are studied in a manufacturing setting. Matters such as evaluation of performance planning, cost behavior, and special decisions are emphasized.  Prerequisite: ACCT 2010."
20800,ACCT,3110,701,Lecture,"3","Leon Hutton","Th 6:30PM - 9:45PM","Web-Based Course-No class mtgs","Intermediate Accounting I","",Open,6,24,0,,"An intensive study of the generally accepted accounting principles for asset valuation, income measurement, and financial statement presentation for business organizations, and the processes through which these principles evolve.  Prerequisite: ACCT 2020."
20801,ACCT,3120,701,Lecture,"3","Nammy Lee","Mo 2:10AM - 2:11AM","Web-Based Course-No class mtgs","Intermediate Accounting II","",Open,10,24,0,,"Continuation of ACCT 3110, emphasizing accounting for the equities of a firm's investors and creditors. Covers special problem areas in financial accounting including accounting for leases, pensions, and income taxes.  Prerequisite: ACCT 3110."
20802,ACCT,3140,701,Lecture,"3","William Cardine","Tu 6:30PM - 9:30PM","Web-Based Course-No class mtgs","Cost Accounting","",Open,3,24,0,,"Addresses analysis of cost behavior and volume profit relationships; responsibility accounting and reporting flexible budgets; and the use of standard costs to guide and control performance.  Prerequisite: ACCT 2020."
20803,ACCT,4450,701,Lecture,"3","Brent Tabor","Mo 2:12AM - 2:13AM","Web-Based Course-No class mtgs","Federal Taxation I","",Open,8,24,0,,"An analysis of the federal income tax law and its application to individuals. A study is made of problems covering personal and business tax situations. Several cases are assigned for which the student prepares illustrative tax returns.  Prerequisite: ACCT 2020 or instructor permission."
20804,ACCT,4700,701,Lecture,"3","Leon Hutton","We 6:30PM - 9:45PM","Web-Based Course-No class mtgs","Federal Accounting","",Open,21,24,0,,"Provides a comprehensive overview of accounting principles, terminology, concepts, and standards unique to federal accounting to include an analysis and discussion of the laws, regulations, rule-setting organizations, and policies leading to current day federal accounting and reporting practices. Requisite: ACCT 2020"
20805,ACCT,5210,701,Lecture,"3","Richard Evans","Tu 6:30PM - 9:45PM","Web-Based Course-No class mtgs","Introductory Auditing","",Open,9,24,0,,"Examines auditing methodology through a study of auditing standards. Includes the nature of evidence, program planning, work papers, internal control evaluation, types of audit tests, and audit reports.  Prerequisite: ACCT 3120."
20807,ACCT,5460,701,Lecture,"3","Staff","TBA","TBA","Federal Taxation II","",Closed,0,0,0,,"Analyzes of the federal income tax law and its application to corporations, shareholders, partnerships, partners, estates, and gift transactions.  Prerequisite: ACCT 4450."
18416,AIRS,100,001,Laboratory,"0","Colleen Delawder","Tu 3:30PM - 5:30PM","Physics Bldg 203","Leadership Laboratory","",Open,49,100,0,,"A mandatory laboratory in leadership and followership development for AFROTC cadets. As a complement to the air science classes, this laboratory focuses on applying leadership principles and understanding leaders' responsibilities while emphasizing the benefits of practical experience. (2 hrs.)   Prerequisite: Enrollment in Air Force ROTC."
18411,AIRS,1100,001,Lecture,"1","Christopher Ulman","Tu 1:00PM - 1:50PM","Contact Department","The Foundations of the U.S. Air Force","",Open,12,50,0,,"Introduces the United States Air Force and Air Force Reserve Officers' Training Corps. Topics include mission and organization of the Air Force, officership and professionalism, military customs and courtesies, Air Force officer career opportunities.  Corequisite: AIRS 100. (2 hrs)"
18412,AIRS,1100,002,Lecture,"1","Christopher Ulman","Th 1:00PM - 1:50PM","Shannon House 107","The Foundations of the U.S. Air Force","",Open,6,20,0,,"Introduces the United States Air Force and Air Force Reserve Officers' Training Corps. Topics include mission and organization of the Air Force, officership and professionalism, military customs and courtesies, Air Force officer career opportunities.  Corequisite: AIRS 100. (2 hrs)"
18413,AIRS,2100,001,Lecture,"1","Daniel Brown","Tu 2:00PM - 2:50PM","Gilmer Hall 166","The Evolution of Air and Space Power","",Open,4,49,0,,"Examines general aspects of air and space power through a historical perspective, from the first balloons and dirigibles through the Korean War. Presents historical examples of the development of Air Force capabilities and missions to demonstrate the evolution of what has become today's USAF air and space power. Investigates several fundamental truths associated with war in the third dimension (e.g., Principles of War and Tenets of Air and Space Power). Considers the general element and employment of air and space power from institutional, doctrinal, and historical perspectives. Discusses the importance of Air Force core values using operational examples and historical Air Force leaders. Continues to develop communication skills.  Corequisite: AIRS 100. (2 hrs.)"
18414,AIRS,2100,002,Lecture,"1","Daniel Brown","Th 2:00PM - 2:50PM","Shannon House 108","The Evolution of Air and Space Power","",Open,9,20,0,,"Examines general aspects of air and space power through a historical perspective, from the first balloons and dirigibles through the Korean War. Presents historical examples of the development of Air Force capabilities and missions to demonstrate the evolution of what has become today's USAF air and space power. Investigates several fundamental truths associated with war in the third dimension (e.g., Principles of War and Tenets of Air and Space Power). Considers the general element and employment of air and space power from institutional, doctrinal, and historical perspectives. Discusses the importance of Air Force core values using operational examples and historical Air Force leaders. Continues to develop communication skills.  Corequisite: AIRS 100. (2 hrs.)"
18418,AIRS,3100,001,Lecture,"3","Colleen Delawder","Tu 12:30PM - 1:45PM","Dell 2 102","Concepts of Air Force Leadership and Management","",Open,5,25,0,,"Focuses on the study of leadership, management fundamentals, professional knowledge, and communication skills required of an Air Force junior officer. Case studies are used to examine Air Force leadership and management situations as a means of demonstrating and exercising practical application of the concepts being studied.  Prerequisite: Officer Field Training attendance; corequisite: AIRS 100. (2 hrs.)"
18419,AIRS,3100,002,Lecture,"3","Colleen Delawder","Fr 12:30PM - 3:00PM","Astronomy Bldg 265","Concepts of Air Force Leadership and Management","",Open,3,25,0,,"Focuses on the study of leadership, management fundamentals, professional knowledge, and communication skills required of an Air Force junior officer. Case studies are used to examine Air Force leadership and management situations as a means of demonstrating and exercising practical application of the concepts being studied.  Prerequisite: Officer Field Training attendance; corequisite: AIRS 100. (2 hrs.)"
18415,AIRS,4100,001,Lecture,"3","Patrick Donley","Tu 12:30PM - 3:00PM","Astronomy Bldg 139","National Security Affairs/Preparation for Active Duty","",Open,13,20,0,,"Examines the national security process, constitutional provisions, advanced leadership ethics, joint operations, and Air Force doctrine. Topics include the military as a profession, officership, civilian control of the military, and current issues affecting the military. Emphasizes refining communication skills through cadet briefings.  Prerequisite: AIRS 3100 and/or 3200; corequisite: AIRS 100. (2 hrs.)"
21740,AIRS,4100,002,Lecture,"3","Patrick Donley","Fr 12:00PM - 2:00PM","Astronomy Bldg 139","National Security Affairs/Preparation for Active Duty","",Open,7,20,0,,"Examines the national security process, constitutional provisions, advanced leadership ethics, joint operations, and Air Force doctrine. Topics include the military as a profession, officership, civilian control of the military, and current issues affecting the military. Emphasizes refining communication skills through cadet briefings.  Prerequisite: AIRS 3100 and/or 3200; corequisite: AIRS 100. (2 hrs.)"
10113,ALAR,7010,001,Studio,"6","Shiqiao Li","MoFr 1:00PM - 4:45PM","Campbell Hall 220B","Research Studio 1","",Open,1,40,0,,"Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Prerequisite: ARCH 6020 or LAR 6020."
10127,ALAR,7010,002,Studio,"6","Robin Dripps","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Research Studio 1","",Closed,10,10,0,,"Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Prerequisite: ARCH 6020 or LAR 6020."
10128,ALAR,7010,003,Studio,"6","Margarita Jover Biboum","MoFr 1:00PM - 4:45PM","Campbell Hall 105","Research Studio 1","",Open,6,15,0,,"Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Prerequisite: ARCH 6020 or LAR 6020."
10276,ALAR,7010,004,Studio,"6","Phoebe Crisman","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Research Studio 1","",Open,8,15,0,,"Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Prerequisite: ARCH 6020 or LAR 6020."
10201,ALAR,7010,006,Studio,"6","Ignacio Alday Sanz","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Research Studio 1","",Open,4,8,0,,"Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Prerequisite: ARCH 6020 or LAR 6020."
10205,ALAR,7010,007,Studio,"6","Leena Cho","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Research Studio 1","",Open,11,15,0,,"Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Prerequisite: ARCH 6020 or LAR 6020."
10206,ALAR,7010,008,Studio,"6","Anselmo Canfora","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Research Studio 1","",Open,3,13,0,,"Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Prerequisite: ARCH 6020 or LAR 6020."
21614,ALAR,7010,010,Studio,"6","Montserrat Bonvehi Rosich","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Research Studio 1","",Open,8,30,0,,"Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Prerequisite: ARCH 6020 or LAR 6020."
21634,ALAR,7010,011,Studio,"6","Alessandra Cianchetta","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Research Studio 1","",Open,9,15,0,,"Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Prerequisite: ARCH 6020 or LAR 6020."
10114,ALAR,8010,001,Studio,"6","Shiqiao Li","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Research Studio 2","",Open,11,15,0,,"Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Part one of a two part comprehensive design sequence.  Prerequisite: ARCH 7020 or LAR 7020."
10129,ALAR,8010,002,Studio,"6","Robin Dripps","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Research Studio 2","",Open,2,12,0,,"Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Part one of a two part comprehensive design sequence.  Prerequisite: ARCH 7020 or LAR 7020."
10130,ALAR,8010,003,Studio,"6","Phoebe Crisman","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Research Studio 2","",Open,6,12,0,,"Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Part one of a two part comprehensive design sequence.  Prerequisite: ARCH 7020 or LAR 7020."
10131,ALAR,8010,004,Studio,"6","Margarita Jover Biboum","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Research Studio 2","",Open,3,15,0,,"Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Part one of a two part comprehensive design sequence.  Prerequisite: ARCH 7020 or LAR 7020."
10132,ALAR,8010,005,Studio,"6","Montserrat Bonvehi Rosich","MoFr 1:00PM - 4:45PM","Campbell Hall 220C","Research Studio 2","",Open,3,15,0,,"Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Part one of a two part comprehensive design sequence.  Prerequisite: ARCH 7020 or LAR 7020."
10148,ALAR,8010,006,Studio,"6","Anselmo Canfora","MoFr 1:00PM - 4:45PM","Campbell Hall 325","Research Studio 2","",Open,3,15,0,,"Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Part one of a two part comprehensive design sequence.  Prerequisite: ARCH 7020 or LAR 7020."
10207,ALAR,8010,007,Studio,"6","Ignacio Alday Sanz","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Research Studio 2","",Open,3,12,0,,"Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Part one of a two part comprehensive design sequence.  Prerequisite: ARCH 7020 or LAR 7020."
10220,ALAR,8010,008,Studio,"6","Leena Cho","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Research Studio 2","",Open,3,15,0,,"Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Part one of a two part comprehensive design sequence.  Prerequisite: ARCH 7020 or LAR 7020."
21635,ALAR,8010,009,Studio,"6","Alessandra Cianchetta","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Research Studio 2","",Open,4,15,0,,"Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Part one of a two part comprehensive design sequence.  Prerequisite: ARCH 7020 or LAR 7020."
20512,ALAR,8030,001,Studio,"6","Ignacio Alday Sanz","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Design Studio 3","",Open,0,30,0,,"Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Prerequisite: ALAR 7010 and  ALAR 8010."
20513,ALAR,8030,002,Studio,"6","Shiqiao Li","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Design Studio 3","",Open,0,30,0,,"Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Prerequisite: ALAR 7010 and  ALAR 8010."
20514,ALAR,8030,003,Studio,"6","Robin Dripps","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Design Studio 3","",Open,1,30,0,,"Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Prerequisite: ALAR 7010 and  ALAR 8010."
10001,ALAR,8100,001,Seminar,"3","Matthew Jull","Tu 9:30AM - 12:00PM","Campbell Hall 302","Design Research Seminar","",Open,17,30,0,,"This course is for students in architecture/landscape undertaking an independent design/thesis studio in the spring semester, or students interested in strategic design thinking. Methods for initiating a thesis, research systems, documentation strategies, design experimentation, and modes of production and presentation will be covered. Collective critical discussion, analysis, and feedback as well as production of a final book will be required."
18804,ALAR,8100,002,Seminar,"3","Julie Bargmann","Tu 3:30PM - 6:00PM","Campbell Hall 405","Design Research Seminar","",Open,5,18,0,,"This course is for students in architecture/landscape undertaking an independent design/thesis studio in the spring semester, or students interested in strategic design thinking. Methods for initiating a thesis, research systems, documentation strategies, design experimentation, and modes of production and presentation will be covered. Collective critical discussion, analysis, and feedback as well as production of a final book will be required."
10094,ALAR,8995,001,Studio,"6","Edward Ford","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Independent Design Research Studio","",Open,2,5,0,,"Independent Design Research Studio. Prerequisite: ALAR 8100 and permission of the chair."
10193,ALAR,8999,001,Independent Study,"1 - 12","Edward Ford","TBA","TBA","Non-Topical Design Research-Masters","",Closed,4,4,0,,"Independent Design Thesis Studio. Prerequisite: ALAR 8100 and permission of the chair."
19632,ALAR,8999,002,Independent Study,"1 - 12","Margarita Jover Biboum","TBA","TBA","Non-Topical Design Research-Masters","",Open,0,2,0,,"Independent Design Thesis Studio. Prerequisite: ALAR 8100 and permission of the chair."
21610,ALAR,8999,003,Independent Study,"1 - 12","Luis Pancorbo Crespo","TBA","TBA","Non-Topical Design Research-Masters","",Closed,1,1,0,,"Independent Design Thesis Studio. Prerequisite: ALAR 8100 and permission of the chair."
17440,AM,6020,001,Lecture,"3","Jason Kerrigan","MoWe 2:00PM - 3:15PM","Mechanical Engr Bldg 339","Continuum Mechanics With Applications","",Open,0,10,0,MAE 6020-001  LEC (17438), CE 6720-001  LEC (17439),"Introduces continuum mechanics and mechanics of deformable solids. Vectors and cartesian tensors, stress, strain, deformation, equations of motion, constitutive laws, introduction to elasticity, thermal elasticity, viscoelasticity, plasticity, and fluids. Cross-listed as APMA 6020, MAE 6020; Taught concurrently with CE 6720.  Prerequisite: Instructor permission."
20595,AMST,1559,002,Lecture,"3","Jessica Sewell","MoWe 2:00PM - 3:15PM","New Cabell Hall 594","New Course in American Studies","Wilderness and Real Estate",Closed,14,14,0,,"New Course in the subject of American Studies"
11569,AMST,2001,100,Lecture,"3","Grace Hale,Matthew Hedstrom","MoWe 1:00PM - 1:50PM","Minor Hall 125","Introduction to American Studies","",Closed,121,120,0,,"This course introduces students to American Studies, the interdisciplinary study of US culture.  Students will be exposed to the three main categories of American Studies methods, historical analysis, close analysis, and fieldwork and to a broad variety of cultural forms, including films, photographs, music, sermons, journalism, fiction, speeches, court decisions, government documents, and web-based materials including social media sites."
13875,AMST,2001,101,Discussion,"0","Sophie Abramowitz","Th 7:00PM - 7:50PM","New Cabell Hall 056","Introduction to American Studies","",Closed,20,20,0,,"This course introduces students to American Studies, the interdisciplinary study of US culture.  Students will be exposed to the three main categories of American Studies methods, historical analysis, close analysis, and fieldwork and to a broad variety of cultural forms, including films, photographs, music, sermons, journalism, fiction, speeches, court decisions, government documents, and web-based materials including social media sites."
13876,AMST,2001,102,Discussion,"0","Sophie Abramowitz","We 5:00PM - 5:50PM","New Cabell Hall 207","Introduction to American Studies","",Closed,20,20,0,,"This course introduces students to American Studies, the interdisciplinary study of US culture.  Students will be exposed to the three main categories of American Studies methods, historical analysis, close analysis, and fieldwork and to a broad variety of cultural forms, including films, photographs, music, sermons, journalism, fiction, speeches, court decisions, government documents, and web-based materials including social media sites."
13877,AMST,2001,103,Discussion,"0","Monica Blair","We 6:00PM - 6:50PM","Bryan Hall 328","Introduction to American Studies","",Closed,21,20,0,,"This course introduces students to American Studies, the interdisciplinary study of US culture.  Students will be exposed to the three main categories of American Studies methods, historical analysis, close analysis, and fieldwork and to a broad variety of cultural forms, including films, photographs, music, sermons, journalism, fiction, speeches, court decisions, government documents, and web-based materials including social media sites."
15278,AMST,2001,104,Discussion,"0","Monica Blair","We 7:00PM - 7:50PM","Bryan Hall 328","Introduction to American Studies","",Closed,22,20,0,,"This course introduces students to American Studies, the interdisciplinary study of US culture.  Students will be exposed to the three main categories of American Studies methods, historical analysis, close analysis, and fieldwork and to a broad variety of cultural forms, including films, photographs, music, sermons, journalism, fiction, speeches, court decisions, government documents, and web-based materials including social media sites."
15279,AMST,2001,105,Discussion,"0","Sophie Abramowitz","Th 5:00PM - 5:50PM","Gibson Hall 341","Introduction to American Studies","",Open,19,20,0,,"This course introduces students to American Studies, the interdisciplinary study of US culture.  Students will be exposed to the three main categories of American Studies methods, historical analysis, close analysis, and fieldwork and to a broad variety of cultural forms, including films, photographs, music, sermons, journalism, fiction, speeches, court decisions, government documents, and web-based materials including social media sites."
15280,AMST,2001,106,Discussion,"0","Monica Blair","Fr 2:00PM - 2:50PM","Nau Hall 241","Introduction to American Studies","",Open,19,20,0,,"This course introduces students to American Studies, the interdisciplinary study of US culture.  Students will be exposed to the three main categories of American Studies methods, historical analysis, close analysis, and fieldwork and to a broad variety of cultural forms, including films, photographs, music, sermons, journalism, fiction, speeches, court decisions, government documents, and web-based materials including social media sites."
